outcome,group,estimate,std_error,significance
Forest area,domestic,-0.062,0.011,***
Forest area,foreign,-0.057,0.009,***
Forest area,foreign_minus_domestic,0.005,0.014,NS
PM2.5 concentration,domestic,-0.045,0.023,*
PM2.5 concentration,foreign,-0.065,0.034,*
PM2.5 concentration,foreign_minus_domestic,-0.02,0.044,NS
Infant mortality rate,domestic,-0.104,0.028,***
Infant mortality rate,foreign,-0.192,0.038,***
Infant mortality rate,foreign_minus_domestic,-0.088,0.041,**
Child nutritional status,domestic,-0.053,0.024,**
Child nutritional status,foreign,-0.129,0.026,***
Child nutritional status,foreign_minus_domestic,-0.076,0.029,***
Primary school attendance,domestic,0.161,0.059,***
Primary school attendance,foreign,0.074,0.062,NS
Primary school attendance,foreign_minus_domestic,-0.087,0.057,NS
Total employment rate,domestic,0.096,0.044,**
Total employment rate,foreign,-0.031,0.042,NS
Total employment rate,foreign_minus_domestic,-0.127,0.057,**
Cropland ownership,domestic,-0.077,0.071,NS
Cropland ownership,foreign,-0.39,0.047,***
Cropland ownership,foreign_minus_domestic,-0.313,0.075,***
Intimate partner violence,domestic,0.318,0.039,***
Intimate partner violence,foreign,-0.093,0.041,**
Intimate partner violence,foreign_minus_domestic,-0.411,0.054,***
Wealth Gini coefficient,domestic,0.216,0.043,***
Wealth Gini coefficient,foreign,-0.147,0.052,***
Wealth Gini coefficient,foreign_minus_domestic,-0.363,0.049,***
Conflict intensity,domestic,-0.189,0.034,***
Conflict intensity,foreign,-0.298,0.037,***
Conflict intensity,foreign_minus_domestic,-0.109,0.043,***
Access to safe drinking water,domestic,0.028,0.028,NS
Access to safe drinking water,foreign,-0.019,0.032,NS
Access to safe drinking water,foreign_minus_domestic,-0.047,0.034,NS
Access to clean fuels,domestic,0.145,0.043,***
Access to clean fuels,foreign,0.087,0.046,*
Access to clean fuels,foreign_minus_domestic,-0.058,0.049,NS
